hourly_counts,date_time,year,month,month_day,week_day,hour,sensor_id,sensor_name
883,2016-01-01 00:00:00,2016,January,1,Friday,0,2,Bourke Street Mall (South)
597,2016-01-01 01:00:00,2016,January,1,Friday,1,2,Bourke Street Mall (South)
294,2016-01-01 02:00:00,2016,January,1,Friday,2,2,Bourke Street Mall (South)
183,2016-01-01 03:00:00,2016,January,1,Friday,3,2,Bourke Street Mall (South)
118,2016-01-01 04:00:00,2016,January,1,Friday,4,2,Bourke Street Mall (South)
68,2016-01-01 05:00:00,2016,January,1,Friday,5,2,Bourke Street Mall (South)
47,2016-01-01 06:00:00,2016,January,1,Friday,6,2,Bourke Street Mall (South)
52,2016-01-01 07:00:00,2016,January,1,Friday,7,2,Bourke Street Mall (South)
120,2016-01-01 08:00:00,2016,January,1,Friday,8,2,Bourke Street Mall (South)
333,2016-01-01 09:00:00,2016,January,1,Friday,9,2,Bourke Street Mall (South)
761,2016-01-01 10:00:00,2016,January,1,Friday,10,2,Bourke Street Mall (South)
1352,2016-01-01 11:00:00,2016,January,1,Friday,11,2,Bourke Street Mall (South)
1848,2016-01-01 12:00:00,2016,January,1,Friday,12,2,Bourke Street Mall (South)
2094,2016-01-01 13:00:00,2016,January,1,Friday,13,2,Bourke Street Mall (South)
2452,2016-01-01 14:00:00,2016,January,1,Friday,14,2,Bourke Street Mall (South)
2519,2016-01-01 15:00:00,2016,January,1,Friday,15,2,Bourke Street Mall (South)
2417,2016-01-01 16:00:00,2016,January,1,Friday,16,2,Bourke Street Mall (South)
1793,2016-01-01 17:00:00,2016,January,1,Friday,17,2,Bourke Street Mall (South)
1224,2016-01-01 18:00:00,2016,January,1,Friday,18,2,Bourke Street Mall (South)
784,2016-01-01 19:00:00,2016,January,1,Friday,19,2,Bourke Street Mall (South)
530,2016-01-01 20:00:00,2016,January,1,Friday,20,2,Bourke Street Mall (South)
328,2016-01-01 21:00:00,2016,January,1,Friday,21,2,Bourke Street Mall (South)
234,2016-01-01 22:00:00,2016,January,1,Friday,22,2,Bourke Street Mall (South)
172,2016-01-01 23:00:00,2016,January,1,Friday,23,2,Bourke Street Mall (South)
88,2016-01-02 00:00:00,2016,January,2,Saturday,0,2,Bourke Street Mall (South)
50,2016-01-02 01:00:00,2016,January,2,Saturday,1,2,Bourke Street Mall (South)
23,2016-01-02 02:00:00,2016,January,2,Saturday,2,2,Bourke Street Mall (South)
37,2016-01-02 03:00:00,2016,January,2,Saturday,3,2,Bourke Street Mall (South)
12,2016-01-02 04:00:00,2016,January,2,Saturday,4,2,Bourke Street Mall (South)
13,2016-01-02 05:00:00,2016,January,2,Saturday,5,2,Bourke Street Mall (South)
33,2016-01-02 06:00:00,2016,January,2,Saturday,6,2,Bourke Street Mall (South)
52,2016-01-02 07:00:00,2016,January,2,Saturday,7,2,Bourke Street Mall (South)
203,2016-01-02 08:00:00,2016,January,2,Saturday,8,2,Bourke Street Mall (South)
503,2016-01-02 09:00:00,2016,January,2,Saturday,9,2,Bourke Street Mall (South)
1160,2016-01-02 10:00:00,2016,January,2,Saturday,10,2,Bourke Street Mall (South)
2099,2016-01-02 11:00:00,2016,January,2,Saturday,11,2,Bourke Street Mall (South)
2798,2016-01-02 12:00:00,2016,January,2,Saturday,12,2,Bourke Street Mall (South)
3164,2016-01-02 13:00:00,2016,January,2,Saturday,13,2,Bourke Street Mall (South)
3551,2016-01-02 14:00:00,2016,January,2,Saturday,14,2,Bourke Street Mall (South)
3725,2016-01-02 15:00:00,2016,January,2,Saturday,15,2,Bourke Street Mall (South)
3465,2016-01-02 16:00:00,2016,January,2,Saturday,16,2,Bourke Street Mall (South)
2613,2016-01-02 17:00:00,2016,January,2,Saturday,17,2,Bourke Street Mall (South)
1732,2016-01-02 18:00:00,2016,January,2,Saturday,18,2,Bourke Street Mall (South)
895,2016-01-02 19:00:00,2016,January,2,Saturday,19,2,Bourke Street Mall (South)
581,2016-01-02 20:00:00,2016,January,2,Saturday,20,2,Bourke Street Mall (South)
446,2016-01-02 21:00:00,2016,January,2,Saturday,21,2,Bourke Street Mall (South)
378,2016-01-02 22:00:00,2016,January,2,Saturday,22,2,Bourke Street Mall (South)
248,2016-01-02 23:00:00,2016,January,2,Saturday,23,2,Bourke Street Mall (South)
168,2016-01-03 00:00:00,2016,January,3,Sunday,0,2,Bourke Street Mall (South)
110,2016-01-03 01:00:00,2016,January,3,Sunday,1,2,Bourke Street Mall (South)
67,2016-01-03 02:00:00,2016,January,3,Sunday,2,2,Bourke Street Mall (South)
114,2016-01-03 03:00:00,2016,January,3,Sunday,3,2,Bourke Street Mall (South)
30,2016-01-03 04:00:00,2016,January,3,Sunday,4,2,Bourke Street Mall (South)
25,2016-01-03 05:00:00,2016,January,3,Sunday,5,2,Bourke Street Mall (South)
33,2016-01-03 06:00:00,2016,January,3,Sunday,6,2,Bourke Street Mall (South)
74,2016-01-03 07:00:00,2016,January,3,Sunday,7,2,Bourke Street Mall (South)
104,2016-01-03 08:00:00,2016,January,3,Sunday,8,2,Bourke Street Mall (South)
473,2016-01-03 09:00:00,2016,January,3,Sunday,9,2,Bourke Street Mall (South)
1107,2016-01-03 10:00:00,2016,January,3,Sunday,10,2,Bourke Street Mall (South)
1898,2016-01-03 11:00:00,2016,January,3,Sunday,11,2,Bourke Street Mall (South)
2326,2016-01-03 12:00:00,2016,January,3,Sunday,12,2,Bourke Street Mall (South)
2761,2016-01-03 13:00:00,2016,January,3,Sunday,13,2,Bourke Street Mall (South)
3128,2016-01-03 14:00:00,2016,January,3,Sunday,14,2,Bourke Street Mall (South)
3114,2016-01-03 15:00:00,2016,January,3,Sunday,15,2,Bourke Street Mall (South)
2945,2016-01-03 16:00:00,2016,January,3,Sunday,16,2,Bourke Street Mall (South)
2133,2016-01-03 17:00:00,2016,January,3,Sunday,17,2,Bourke Street Mall (South)
1286,2016-01-03 18:00:00,2016,January,3,Sunday,18,2,Bourke Street Mall (South)
640,2016-01-03 19:00:00,2016,January,3,Sunday,19,2,Bourke Street Mall (South)
465,2016-01-03 20:00:00,2016,January,3,Sunday,20,2,Bourke Street Mall (South)
370,2016-01-03 21:00:00,2016,January,3,Sunday,21,2,Bourke Street Mall (South)
170,2016-01-03 22:00:00,2016,January,3,Sunday,22,2,Bourke Street Mall (South)
133,2016-01-03 23:00:00,2016,January,3,Sunday,23,2,Bourke Street Mall (South)
96,2016-01-04 00:00:00,2016,January,4,Monday,0,2,Bourke Street Mall (South)
35,2016-01-04 01:00:00,2016,January,4,Monday,1,2,Bourke Street Mall (South)
25,2016-01-04 02:00:00,2016,January,4,Monday,2,2,Bourke Street Mall (South)
8,2016-01-04 03:00:00,2016,January,4,Monday,3,2,Bourke Street Mall (South)
21,2016-01-04 04:00:00,2016,January,4,Monday,4,2,Bourke Street Mall (South)
24,2016-01-04 05:00:00,2016,January,4,Monday,5,2,Bourke Street Mall (South)
60,2016-01-04 06:00:00,2016,January,4,Monday,6,2,Bourke Street Mall (South)
203,2016-01-04 07:00:00,2016,January,4,Monday,7,2,Bourke Street Mall (South)
437,2016-01-04 08:00:00,2016,January,4,Monday,8,2,Bourke Street Mall (South)
688,2016-01-04 09:00:00,2016,January,4,Monday,9,2,Bourke Street Mall (South)
1285,2016-01-04 10:00:00,2016,January,4,Monday,10,2,Bourke Street Mall (South)
2114,2016-01-04 11:00:00,2016,January,4,Monday,11,2,Bourke Street Mall (South)
3662,2016-01-04 12:00:00,2016,January,4,Monday,12,2,Bourke Street Mall (South)
3844,2016-01-04 13:00:00,2016,January,4,Monday,13,2,Bourke Street Mall (South)
3602,2016-01-04 14:00:00,2016,January,4,Monday,14,2,Bourke Street Mall (South)
3259,2016-01-04 15:00:00,2016,January,4,Monday,15,2,Bourke Street Mall (South)
3008,2016-01-04 16:00:00,2016,January,4,Monday,16,2,Bourke Street Mall (South)
2645,2016-01-04 17:00:00,2016,January,4,Monday,17,2,Bourke Street Mall (South)
1740,2016-01-04 18:00:00,2016,January,4,Monday,18,2,Bourke Street Mall (South)
770,2016-01-04 19:00:00,2016,January,4,Monday,19,2,Bourke Street Mall (South)
411,2016-01-04 20:00:00,2016,January,4,Monday,20,2,Bourke Street Mall (South)
310,2016-01-04 21:00:00,2016,January,4,Monday,21,2,Bourke Street Mall (South)
197,2016-01-04 22:00:00,2016,January,4,Monday,22,2,Bourke Street Mall (South)
119,2016-01-04 23:00:00,2016,January,4,Monday,23,2,Bourke Street Mall (South)
49,2016-01-05 00:00:00,2016,January,5,Tuesday,0,2,Bourke Street Mall (South)
36,2016-01-05 01:00:00,2016,January,5,Tuesday,1,2,Bourke Street Mall (South)
19,2016-01-05 02:00:00,2016,January,5,Tuesday,2,2,Bourke Street Mall (South)
15,2016-01-05 03:00:00,2016,January,5,Tuesday,3,2,Bourke Street Mall (South)
23,2016-01-05 04:00:00,2016,January,5,Tuesday,4,2,Bourke Street Mall (South)
21,2016-01-05 05:00:00,2016,January,5,Tuesday,5,2,Bourke Street Mall (South)
102,2016-01-05 06:00:00,2016,January,5,Tuesday,6,2,Bourke Street Mall (South)
218,2016-01-05 07:00:00,2016,January,5,Tuesday,7,2,Bourke Street Mall (South)
536,2016-01-05 08:00:00,2016,January,5,Tuesday,8,2,Bourke Street Mall (South)
745,2016-01-05 09:00:00,2016,January,5,Tuesday,9,2,Bourke Street Mall (South)
1413,2016-01-05 10:00:00,2016,January,5,Tuesday,10,2,Bourke Street Mall (South)
2168,2016-01-05 11:00:00,2016,January,5,Tuesday,11,2,Bourke Street Mall (South)
3590,2016-01-05 12:00:00,2016,January,5,Tuesday,12,2,Bourke Street Mall (South)
3849,2016-01-05 13:00:00,2016,January,5,Tuesday,13,2,Bourke Street Mall (South)
3354,2016-01-05 14:00:00,2016,January,5,Tuesday,14,2,Bourke Street Mall (South)
3085,2016-01-05 15:00:00,2016,January,5,Tuesday,15,2,Bourke Street Mall (South)
2911,2016-01-05 16:00:00,2016,January,5,Tuesday,16,2,Bourke Street Mall (South)
2683,2016-01-05 17:00:00,2016,January,5,Tuesday,17,2,Bourke Street Mall (South)
1628,2016-01-05 18:00:00,2016,January,5,Tuesday,18,2,Bourke Street Mall (South)
903,2016-01-05 19:00:00,2016,January,5,Tuesday,19,2,Bourke Street Mall (South)
537,2016-01-05 20:00:00,2016,January,5,Tuesday,20,2,Bourke Street Mall (South)
386,2016-01-05 21:00:00,2016,January,5,Tuesday,21,2,Bourke Street Mall (South)
248,2016-01-05 22:00:00,2016,January,5,Tuesday,22,2,Bourke Street Mall (South)
164,2016-01-05 23:00:00,2016,January,5,Tuesday,23,2,Bourke Street Mall (South)
82,2016-01-06 00:00:00,2016,January,6,Wednesday,0,2,Bourke Street Mall (South)
40,2016-01-06 01:00:00,2016,January,6,Wednesday,1,2,Bourke Street Mall (South)
31,2016-01-06 02:00:00,2016,January,6,Wednesday,2,2,Bourke Street Mall (South)
9,2016-01-06 03:00:00,2016,January,6,Wednesday,3,2,Bourke Street Mall (South)
40,2016-01-06 04:00:00,2016,January,6,Wednesday,4,2,Bourke Street Mall (South)
25,2016-01-06 05:00:00,2016,January,6,Wednesday,5,2,Bourke Street Mall (South)
69,2016-01-06 06:00:00,2016,January,6,Wednesday,6,2,Bourke Street Mall (South)
